"ID"	"State"	"InitialState"
"RNA_J_06_U_T_PT"	"S01"	"IS02"
"RNA_J_13_U_T_PT"	"S01"	"IS02"
"RNA_J_22_U_T_PT"	"S01"	"IS02"
"RNA_J_31_M_T_PT"	"S01"	"IS02"
"RNA_J_35_M_T_PT"	"S01"	"IS02"
"RNA_J_36_M_T_PT"	"S01"	"IS02"
"RNA_LMU_KKG_01_PT"	"S01"	"IS02"
"RNA_LMU_KKG_08_Rez"	"S01"	"IS02"
"RNA_LMU_KKG_13_PT"	"S01"	"IS02"
"RNA_LMU_KKG_17_PT"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_24"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_26"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_41"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_56"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_59"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_70"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_72"	"S01"	"IS02"
"RNA_LMU_KKG_ADJ_76"	"S01"	"IS02"
"RNA_Lue_04_PT"	"S01"	"IS02"
"RNA_Lue_04_Rez_1"	"S01"	"IS02"
"RNA_Lue_07_PT"	"S01"	"IS02"
"RNA_Lue_11_Rez_1"	"S01"	"IS02"
"RNA_Lue_16_PT"	"S01"	"IS02"
"RNA_LMU_KKG_10_Rez"	"S02"	"IS11"
"RNA_LMU_KKG_ADJ_05"	"S02"	"IS11"
"RNA_J_38_M_T_PT"	"S03"	"IS09"
"RNA_LMU_KKG_ADJ_15"	"S03"	"IS09"
"RNA_LMU_KKG_ADJ_32"	"S03"	"IS09"
"RNA_LMU_KKG_ADJ_54"	"S03"	"IS09"
"RNA_Lue_02_Rez_1"	"S03"	"IS09"
"RNA_Lue_02_Rez_2"	"S03"	"IS09"
"RNA_Lue_05_Rez_1"	"S03"	"IS09"
"RNA_Lue_07_Rez_1"	"S03"	"IS09"
"RNA_Lue_08_PT"	"S03"	"IS09"
"RNA_Lue_17_Rez_1"	"S03"	"IS09"
"RNA_Control_Cal33"	"S04"	"IS03"
"RNA_J_33_M_T_PT"	"S04"	"IS03"
"RNA_LMU_KKG_09_Rez"	"S04"	"IS03"
"RNA_LMU_KKG_15_Rez"	"S04"	"IS03"
"RNA_LMU_KKG_16_Rez"	"S04"	"IS03"
"RNA_LMU_KKG_17_Rez"	"S04"	"IS03"
"RNA_LMU_KKG_21_Rez"	"S04"	"IS03"
"RNA_LMU_KKG_ADJ_04"	"S04"	"IS03"
"RNA_LMU_KKG_ADJ_20"	"S04"	"IS03"
"RNA_LMU_KKG_ADJ_39"	"S04"	"IS03"
"RNA_LMU_KKG_ADJ_40"	"S04"	"IS03"
"RNA_LMU_KKG_ADJ_46"	"S04"	"IS03"
"RNA_LMU_KKG_ADJ_74"	"S04"	"IS03"
"RNA_Lue_05_Rez_2"	"S04"	"IS03"
"RNA_Lue_10_Rez_1"	"S04"	"IS03"
"RNA_Lue_11_PT"	"S04"	"IS03"
"RNA_Lue_12_Rez_1"	"S04"	"IS03"
"RNA_J_08_U_T_PT"	"S05"	"IS08"
"RNA_LMU_KKG_10_PT"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_03"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_17"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_19"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_21"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_28"	"S05"	"IS08"
"RNA_LMU_KKG_ADJ_38"	"S05"	"IS08"
