"ID"	"State"	"InitialState"
"MUC14098"	"S01"	"IS01"
"MUC14112"	"S01"	"IS01"
"MUC14146"	"S01"	"IS01"
"MUC14173"	"S01"	"IS01"
"MUC14108"	"S01"	"IS01"
"MUC14170"	"S01"	"IS01"
"MUC14114"	"S01"	"IS01"
"MUC14147"	"S01"	"IS01"
"MUC14129"	"S01"	"IS01"
"MUC14145"	"S01"	"IS01"
"MUC14164"	"S01"	"IS01"
"MUC14099"	"S01"	"IS01"
"MUC14132"	"S01"	"IS01"
"MUC14101"	"S01"	"IS01"
"KKG_PROSP_ADJ_05"	"S01"	"IS01"
"KKG_PROSP_ADJ_06"	"S01"	"IS01"
"KKG_PROSP_ADJ_07"	"S01"	"IS01"
"KKG_PROSP_ADJ_09"	"S01"	"IS01"
"KKG_PROSP_ADJ_15"	"S01"	"IS01"
"KKG_PROSP_ADJ_28"	"S01"	"IS01"
"KKG_PROSP_ADJ_38"	"S01"	"IS01"
"KKG_PROSP_ADJ_42"	"S01"	"IS01"
"KKG_PROSP_ADJ_43"	"S01"	"IS01"
"KKG_PROSP_ADJ_45"	"S01"	"IS01"
"KKG_PROSP_ADJ_46"	"S01"	"IS01"
"KKG_PROSP_ADJ_51"	"S01"	"IS01"
"MUC14103"	"S02"	"IS09"
"MUC14109"	"S02"	"IS09"
"MUC14118"	"S02"	"IS09"
"MUC14137"	"S02"	"IS09"
"MUC14107"	"S02"	"IS09"
"MUC14157"	"S02"	"IS09"
"MUC14141"	"S02"	"IS09"
"MUC14151"	"S02"	"IS09"
"MUC14100"	"S02"	"IS09"
"KKG_PROSP_ADJ_01"	"S02"	"IS09"
"KKG_PROSP_ADJ_11"	"S02"	"IS09"
"KKG_PROSP_ADJ_57"	"S02"	"IS09"
"MUC14121"	"S03"	"IS04"
"MUC14131"	"S03"	"IS04"
"MUC14135"	"S03"	"IS04"
"MUC14133"	"S03"	"IS04"
"MUC14168"	"S03"	"IS04"
"MUC14116"	"S03"	"IS04"
"MUC14117"	"S03"	"IS04"
"MUC14158"	"S03"	"IS04"
"MUC14097"	"S03"	"IS04"
"MUC14153"	"S03"	"IS04"
"MUC14167"	"S03"	"IS04"
"KKG_PROSP_ADJ_02"	"S03"	"IS04"
"KKG_PROSP_ADJ_13"	"S03"	"IS04"
"KKG_PROSP_ADJ_143"	"S03"	"IS04"
"KKG_PROSP_ADJ_29"	"S03"	"IS04"
"KKG_PROSP_ADJ_49"	"S03"	"IS04"
"KKG_PROSP_ADJ_54"	"S03"	"IS04"
"MUC14149"	"S04"	"IS02"
"MUC14128"	"S04"	"IS02"
"MUC14134"	"S04"	"IS02"
"KKG_PROSP_ADJ_19"	"S04"	"IS02"
"KKG_PROSP_ADJ_21"	"S04"	"IS02"
"KKG_PROSP_ADJ_32"	"S04"	"IS02"
"MUC14105"	"S05"	"IS08"
"MUC14160"	"S05"	"IS08"
"MUC14106"	"S05"	"IS08"
"MUC14104"	"S05"	"IS08"
"MUC14178"	"S05"	"IS08"
"MUC14115"	"S05"	"IS08"
"MUC14127"	"S05"	"IS08"
"MUC14102"	"S05"	"IS08"
"KKG_PROSP_ADJ_26"	"S05"	"IS08"
"KKG_PROSP_ADJ_36"	"S05"	"IS08"
"KKG_PROSP_ADJ_55"	"S05"	"IS08"
"KKG_PROSP_ADJ_59"	"S05"	"IS08"
