"ID"	"State"	"InitialState"
"MUC14098"	"S01"	"IS01"
"MUC14105"	"S01"	"IS01"
"MUC14137"	"S01"	"IS01"
"MUC14173"	"S01"	"IS01"
"MUC14157"	"S01"	"IS01"
"MUC14108"	"S01"	"IS01"
"MUC14114"	"S01"	"IS01"
"MUC14147"	"S01"	"IS01"
"MUC14129"	"S01"	"IS01"
"MUC14154"	"S01"	"IS01"
"MUC14132"	"S01"	"IS01"
"MUC14102"	"S01"	"IS01"
"MUC14101"	"S01"	"IS01"
"KKG_PROSP_ADJ_06"	"S01"	"IS01"
"KKG_PROSP_ADJ_07"	"S01"	"IS01"
"KKG_PROSP_ADJ_09"	"S01"	"IS01"
"KKG_PROSP_ADJ_11"	"S01"	"IS01"
"KKG_PROSP_ADJ_15"	"S01"	"IS01"
"KKG_PROSP_ADJ_16"	"S01"	"IS01"
"KKG_PROSP_ADJ_20"	"S01"	"IS01"
"KKG_PROSP_ADJ_26"	"S01"	"IS01"
"KKG_PROSP_ADJ_27"	"S01"	"IS01"
"KKG_PROSP_ADJ_28"	"S01"	"IS01"
"KKG_PROSP_ADJ_43"	"S01"	"IS01"
"KKG_PROSP_ADJ_45"	"S01"	"IS01"
"KKG_PROSP_ADJ_46"	"S01"	"IS01"
"KKG_PROSP_ADJ_51"	"S01"	"IS01"
"KKG_PROSP_ADJ_54"	"S01"	"IS01"
"KKG_PROSP_ADJ_55"	"S01"	"IS01"
"KKG_PROSP_ADJ_57"	"S01"	"IS01"
"MUC14153"	"S02"	"IS03"
"KKG_PROSP_ADJ_02"	"S02"	"IS03"
"MUC14121"	"S03"	"IS05"
"MUC14133"	"S03"	"IS05"
"MUC14107"	"S03"	"IS05"
"MUC14104"	"S03"	"IS05"
"MUC14115"	"S03"	"IS05"
"MUC14124"	"S03"	"IS05"
"KKG_PROSP_ADJ_01"	"S03"	"IS05"
"KKG_PROSP_ADJ_05"	"S03"	"IS05"
"KKG_PROSP_ADJ_13"	"S03"	"IS05"
"KKG_PROSP_ADJ_22"	"S03"	"IS05"
"KKG_PROSP_ADJ_24"	"S03"	"IS05"
"KKG_PROSP_ADJ_25"	"S03"	"IS05"
"KKG_PROSP_ADJ_29"	"S03"	"IS05"
"KKG_PROSP_ADJ_36"	"S03"	"IS05"
"KKG_PROSP_ADJ_39"	"S03"	"IS05"
"KKG_PROSP_ADJ_44"	"S03"	"IS05"
"KKG_PROSP_ADJ_59"	"S03"	"IS05"
