"ID"	"State"	"InitialState"
"MUC14126"	"S01"	"IS01"
"MUC14173"	"S01"	"IS01"
"KKG_PROSP_ADJ_13"	"S01"	"IS01"
"MUC14169"	"S02"	"IS02"
"MUC14155"	"S02"	"IS02"
"MUC14162"	"S02"	"IS02"
"MUC14113"	"S02"	"IS02"
"MUC14153"	"S02"	"IS02"
"MUC14167"	"S02"	"IS02"
"MUC14123"	"S02"	"IS02"
"MUC14134"	"S02"	"IS02"
"KKG_PROSP_ADJ_03"	"S02"	"IS02"
"KKG_PROSP_ADJ_10"	"S02"	"IS02"
"KKG_PROSP_ADJ_14"	"S02"	"IS02"
"KKG_PROSP_ADJ_19"	"S02"	"IS02"
"KKG_PROSP_ADJ_23"	"S02"	"IS02"
"KKG_PROSP_ADJ_25"	"S02"	"IS02"
"KKG_PROSP_ADJ_36"	"S02"	"IS02"
"KKG_PROSP_ADJ_41"	"S02"	"IS02"
"KKG_PROSP_ADJ_47"	"S02"	"IS02"
"KKG_PROSP_ADJ_54"	"S02"	"IS02"
"KKG_PROSP_ADJ_48"	"S02"	"IS02"
"KKG_PROSP_ADJ_86"	"S02"	"IS02"
"MUC14098"	"S03"	"IS03"
"MUC14112"	"S03"	"IS03"
"MUC14105"	"S03"	"IS03"
"MUC14147"	"S03"	"IS03"
"MUC14129"	"S03"	"IS03"
"MUC14099"	"S03"	"IS03"
"MUC14101"	"S03"	"IS03"
"KKG_PROSP_ADJ_06"	"S03"	"IS03"
"KKG_PROSP_ADJ_07"	"S03"	"IS03"
"KKG_PROSP_ADJ_09"	"S03"	"IS03"
"KKG_PROSP_ADJ_28"	"S03"	"IS03"
"KKG_PROSP_ADJ_46"	"S03"	"IS03"
"KKG_PROSP_ADJ_51"	"S03"	"IS03"
"MUC14103"	"S04"	"IS05"
"MUC14149"	"S04"	"IS05"
"MUC14160"	"S04"	"IS05"
"MUC14143"	"S04"	"IS05"
"MUC14125"	"S04"	"IS05"
"MUC14168"	"S04"	"IS05"
"MUC14158"	"S04"	"IS05"
"MUC14114"	"S04"	"IS05"
"MUC14151"	"S04"	"IS05"
"MUC14145"	"S04"	"IS05"
"KKG_PROSP_ADJ_04"	"S04"	"IS05"
"KKG_PROSP_ADJ_05"	"S04"	"IS05"
"KKG_PROSP_ADJ_08"	"S04"	"IS05"
"KKG_PROSP_ADJ_11"	"S04"	"IS05"
"KKG_PROSP_ADJ_15"	"S04"	"IS05"
"KKG_PROSP_ADJ_20"	"S04"	"IS05"
"KKG_PROSP_ADJ_26"	"S04"	"IS05"
"KKG_PROSP_ADJ_27"	"S04"	"IS05"
"KKG_PROSP_ADJ_32"	"S04"	"IS05"
"KKG_PROSP_ADJ_33"	"S04"	"IS05"
"KKG_PROSP_ADJ_39"	"S04"	"IS05"
"KKG_PROSP_ADJ_45"	"S04"	"IS05"
"KKG_PROSP_ADJ_50"	"S04"	"IS05"
"KKG_PROSP_ADJ_57"	"S04"	"IS05"
"MUC14121"	"S05"	"IS06"
"MUC14131"	"S05"	"IS06"
"MUC14135"	"S05"	"IS06"
"MUC14165"	"S05"	"IS06"
"MUC14166"	"S05"	"IS06"
"MUC14118"	"S05"	"IS06"
"MUC14138"	"S05"	"IS06"
"MUC14106"	"S05"	"IS06"
"MUC14133"	"S05"	"IS06"
"MUC14137"	"S05"	"IS06"
"MUC14107"	"S05"	"IS06"
"MUC14116"	"S05"	"IS06"
"MUC14117"	"S05"	"IS06"
"MUC14157"	"S05"	"IS06"
"MUC14111"	"S05"	"IS06"
"MUC14097"	"S05"	"IS06"
"MUC14108"	"S05"	"IS06"
"MUC14172"	"S05"	"IS06"
"MUC14104"	"S05"	"IS06"
"MUC14110"	"S05"	"IS06"
"MUC14178"	"S05"	"IS06"
"MUC14141"	"S05"	"IS06"
"MUC14115"	"S05"	"IS06"
"MUC14127"	"S05"	"IS06"
"MUC14100"	"S05"	"IS06"
"MUC14156"	"S05"	"IS06"
"MUC14128"	"S05"	"IS06"
"MUC14102"	"S05"	"IS06"
"KKG_PROSP_ADJ_01"	"S05"	"IS06"
"KKG_PROSP_ADJ_02"	"S05"	"IS06"
"KKG_PROSP_ADJ_102"	"S05"	"IS06"
"KKG_PROSP_ADJ_12"	"S05"	"IS06"
"KKG_PROSP_ADJ_143"	"S05"	"IS06"
"KKG_PROSP_ADJ_21"	"S05"	"IS06"
"KKG_PROSP_ADJ_22"	"S05"	"IS06"
"KKG_PROSP_ADJ_29"	"S05"	"IS06"
"KKG_PROSP_ADJ_31"	"S05"	"IS06"
"KKG_PROSP_ADJ_49"	"S05"	"IS06"
"KKG_PROSP_ADJ_55"	"S05"	"IS06"
"KKG_PROSP_ADJ_58"	"S05"	"IS06"
"KKG_PROSP_ADJ_59"	"S05"	"IS06"
