"ID"	"State"	"InitialState"
"MUC14131"	"S01"	"IS02"
"MUC14135"	"S01"	"IS02"
"MUC14118"	"S01"	"IS02"
"MUC14138"	"S01"	"IS02"
"MUC14133"	"S01"	"IS02"
"MUC14137"	"S01"	"IS02"
"MUC14107"	"S01"	"IS02"
"MUC14157"	"S01"	"IS02"
"MUC14111"	"S01"	"IS02"
"MUC14097"	"S01"	"IS02"
"MUC14172"	"S01"	"IS02"
"MUC14110"	"S01"	"IS02"
"MUC14141"	"S01"	"IS02"
"MUC14115"	"S01"	"IS02"
"MUC14127"	"S01"	"IS02"
"MUC14100"	"S01"	"IS02"
"MUC14156"	"S01"	"IS02"
"MUC14128"	"S01"	"IS02"
"MUC14102"	"S01"	"IS02"
"KKG_PROSP_ADJ_01"	"S01"	"IS02"
"KKG_PROSP_ADJ_02"	"S01"	"IS02"
"KKG_PROSP_ADJ_12"	"S01"	"IS02"
"KKG_PROSP_ADJ_143"	"S01"	"IS02"
"KKG_PROSP_ADJ_21"	"S01"	"IS02"
"KKG_PROSP_ADJ_22"	"S01"	"IS02"
"KKG_PROSP_ADJ_31"	"S01"	"IS02"
"KKG_PROSP_ADJ_49"	"S01"	"IS02"
"MUC14165"	"S02"	"IS11"
"MUC14173"	"S02"	"IS11"
"MUC14178"	"S02"	"IS11"
"KKG_PROSP_ADJ_13"	"S02"	"IS11"
"MUC14169"	"S03"	"IS09"
"MUC14162"	"S03"	"IS09"
"MUC14116"	"S03"	"IS09"
"MUC14117"	"S03"	"IS09"
"MUC14123"	"S03"	"IS09"
"KKG_PROSP_ADJ_03"	"S03"	"IS09"
"KKG_PROSP_ADJ_102"	"S03"	"IS09"
"KKG_PROSP_ADJ_25"	"S03"	"IS09"
"KKG_PROSP_ADJ_59"	"S03"	"IS09"
"KKG_PROSP_ADJ_48"	"S03"	"IS09"
"KKG_PROSP_ADJ_08"	"S04"	"IS03"
"KKG_PROSP_ADJ_45"	"S04"	"IS03"
"MUC14166"	"S05"	"IS08"
"MUC14160"	"S05"	"IS08"
"MUC14143"	"S05"	"IS08"
"MUC14106"	"S05"	"IS08"
"MUC14151"	"S05"	"IS08"
"MUC14099"	"S05"	"IS08"
"MUC14103"	"S06"	"IS10"
"MUC14109"	"S06"	"IS10"
"MUC14121"	"S06"	"IS10"
"MUC14149"	"S06"	"IS10"
"MUC14125"	"S06"	"IS10"
"MUC14168"	"S06"	"IS10"
"KKG_PROSP_ADJ_04"	"S06"	"IS10"
"KKG_PROSP_ADJ_11"	"S06"	"IS10"
"KKG_PROSP_ADJ_20"	"S06"	"IS10"
"KKG_PROSP_ADJ_26"	"S06"	"IS10"
"KKG_PROSP_ADJ_27"	"S06"	"IS10"
"KKG_PROSP_ADJ_32"	"S06"	"IS10"
"KKG_PROSP_ADJ_33"	"S06"	"IS10"
"KKG_PROSP_ADJ_39"	"S06"	"IS10"
"KKG_PROSP_ADJ_55"	"S06"	"IS10"
"KKG_PROSP_ADJ_57"	"S06"	"IS10"
"KKG_PROSP_ADJ_58"	"S06"	"IS10"
"MUC14098"	"S07"	"IS01"
"MUC14112"	"S07"	"IS01"
"MUC14105"	"S07"	"IS01"
"MUC14108"	"S07"	"IS01"
"MUC14104"	"S07"	"IS01"
"MUC14147"	"S07"	"IS01"
"MUC14129"	"S07"	"IS01"
"MUC14101"	"S07"	"IS01"
"KKG_PROSP_ADJ_06"	"S07"	"IS01"
"KKG_PROSP_ADJ_07"	"S07"	"IS01"
"KKG_PROSP_ADJ_09"	"S07"	"IS01"
"KKG_PROSP_ADJ_28"	"S07"	"IS01"
"KKG_PROSP_ADJ_44"	"S07"	"IS01"
"KKG_PROSP_ADJ_46"	"S07"	"IS01"
"KKG_PROSP_ADJ_51"	"S07"	"IS01"
"MUC14155"	"S08"	"IS05"
"MUC14120"	"S08"	"IS05"
"MUC14148"	"S08"	"IS05"
"MUC14170"	"S08"	"IS05"
"MUC14153"	"S08"	"IS05"
"MUC14167"	"S08"	"IS05"
"MUC14134"	"S08"	"IS05"
"KKG_PROSP_ADJ_10"	"S08"	"IS05"
"KKG_PROSP_ADJ_19"	"S08"	"IS05"
"KKG_PROSP_ADJ_23"	"S08"	"IS05"
"KKG_PROSP_ADJ_24"	"S08"	"IS05"
"KKG_PROSP_ADJ_29"	"S08"	"IS05"
"KKG_PROSP_ADJ_35"	"S08"	"IS05"
"KKG_PROSP_ADJ_36"	"S08"	"IS05"
"KKG_PROSP_ADJ_37"	"S08"	"IS05"
"KKG_PROSP_ADJ_41"	"S08"	"IS05"
"KKG_PROSP_ADJ_47"	"S08"	"IS05"
"KKG_PROSP_ADJ_54"	"S08"	"IS05"
"KKG_PROSP_ADJ_86"	"S08"	"IS05"
