"ID"	"State"	"InitialState"
"MUC14173"	"S01"	"IS04"
"MUC14157"	"S01"	"IS04"
"MUC14097"	"S01"	"IS04"
"MUC14100"	"S01"	"IS04"
"MUC14128"	"S01"	"IS04"
"MUC14167"	"S01"	"IS04"
"MUC14102"	"S01"	"IS04"
"KKG_PROSP_ADJ_02"	"S01"	"IS04"
"KKG_PROSP_ADJ_13"	"S01"	"IS04"
"KKG_PROSP_ADJ_143"	"S01"	"IS04"
"MUC14165"	"S02"	"IS06"
"MUC14119"	"S02"	"IS06"
"KKG_PROSP_ADJ_05"	"S02"	"IS06"
"KKG_PROSP_ADJ_19"	"S02"	"IS06"
"KKG_PROSP_ADJ_27"	"S02"	"IS06"
"KKG_PROSP_ADJ_45"	"S02"	"IS06"
"MUC14103"	"S03"	"IS08"
"MUC14143"	"S03"	"IS08"
"MUC14125"	"S03"	"IS08"
"MUC14139"	"S03"	"IS08"
"MUC14114"	"S03"	"IS08"
"MUC14151"	"S03"	"IS08"
"MUC14123"	"S03"	"IS08"
"MUC14134"	"S03"	"IS08"
"KKG_PROSP_ADJ_04"	"S03"	"IS08"
"KKG_PROSP_ADJ_20"	"S03"	"IS08"
"KKG_PROSP_ADJ_21"	"S03"	"IS08"
"KKG_PROSP_ADJ_49"	"S03"	"IS08"
"KKG_PROSP_ADJ_58"	"S03"	"IS08"
"MUC14105"	"S04"	"IS02"
"MUC14108"	"S04"	"IS02"
"MUC14178"	"S04"	"IS02"
"KKG_PROSP_ADJ_06"	"S04"	"IS02"
"KKG_PROSP_ADJ_07"	"S04"	"IS02"
"KKG_PROSP_ADJ_09"	"S04"	"IS02"
"KKG_PROSP_ADJ_15"	"S04"	"IS02"
"KKG_PROSP_ADJ_28"	"S04"	"IS02"
"KKG_PROSP_ADJ_51"	"S04"	"IS02"
"MUC14169"	"S05"	"IS05"
"MUC14121"	"S05"	"IS05"
"MUC14131"	"S05"	"IS05"
"MUC14135"	"S05"	"IS05"
"MUC14149"	"S05"	"IS05"
"MUC14162"	"S05"	"IS05"
"MUC14113"	"S05"	"IS05"
"MUC14107"	"S05"	"IS05"
"MUC14116"	"S05"	"IS05"
"KKG_PROSP_ADJ_03"	"S05"	"IS05"
"KKG_PROSP_ADJ_08"	"S05"	"IS05"
"KKG_PROSP_ADJ_102"	"S05"	"IS05"
"KKG_PROSP_ADJ_12"	"S05"	"IS05"
"KKG_PROSP_ADJ_14"	"S05"	"IS05"
"KKG_PROSP_ADJ_22"	"S05"	"IS05"
"KKG_PROSP_ADJ_23"	"S05"	"IS05"
"KKG_PROSP_ADJ_25"	"S05"	"IS05"
"KKG_PROSP_ADJ_57"	"S05"	"IS05"
"KKG_PROSP_ADJ_59"	"S05"	"IS05"
"KKG_PROSP_ADJ_48"	"S05"	"IS05"
"MUC14133"	"S06"	"IS07"
"MUC14117"	"S06"	"IS07"
"MUC14110"	"S06"	"IS07"
"MUC14147"	"S06"	"IS07"
"MUC14115"	"S06"	"IS07"
"MUC14153"	"S06"	"IS07"
"KKG_PROSP_ADJ_01"	"S06"	"IS07"
"KKG_PROSP_ADJ_10"	"S06"	"IS07"
"KKG_PROSP_ADJ_139"	"S06"	"IS07"
"KKG_PROSP_ADJ_29"	"S06"	"IS07"
"KKG_PROSP_ADJ_36"	"S06"	"IS07"
"KKG_PROSP_ADJ_44"	"S06"	"IS07"
"KKG_PROSP_ADJ_54"	"S06"	"IS07"
"KKG_PROSP_ADJ_55"	"S06"	"IS07"
"KKG_PROSP_ADJ_86"	"S06"	"IS07"
