"ID"	"State"	"InitialState"
"MUC14098"	"S01"	"IS04"
"MUC14105"	"S01"	"IS04"
"MUC14173"	"S01"	"IS04"
"MUC14129"	"S01"	"IS04"
"KKG_PROSP_ADJ_06"	"S01"	"IS04"
"KKG_PROSP_ADJ_07"	"S01"	"IS04"
"KKG_PROSP_ADJ_09"	"S01"	"IS04"
"KKG_PROSP_ADJ_20"	"S01"	"IS04"
"KKG_PROSP_ADJ_28"	"S01"	"IS04"
"KKG_PROSP_ADJ_46"	"S01"	"IS04"
"KKG_PROSP_ADJ_51"	"S01"	"IS04"
"MUC14112"	"S02"	"IS01"
"KKG_PROSP_ADJ_44"	"S02"	"IS01"
"MUC14131"	"S04"	"IS12"
"MUC14135"	"S04"	"IS12"
"MUC14107"	"S04"	"IS12"
"MUC14157"	"S04"	"IS12"
"MUC14097"	"S04"	"IS12"
"MUC14141"	"S04"	"IS12"
"MUC14128"	"S04"	"IS12"
"KKG_PROSP_ADJ_02"	"S04"	"IS12"
"KKG_PROSP_ADJ_21"	"S04"	"IS12"
"KKG_PROSP_ADJ_22"	"S04"	"IS12"
"MUC14178"	"S05"	"IS10"
"MUC14153"	"S07"	"IS11"
"MUC14167"	"S07"	"IS11"
"KKG_PROSP_ADJ_01"	"S07"	"IS11"
"KKG_PROSP_ADJ_13"	"S07"	"IS11"
"KKG_PROSP_ADJ_139"	"S07"	"IS11"
"KKG_PROSP_ADJ_29"	"S07"	"IS11"
"MUC14116"	"S08"	"IS17"
"KKG_PROSP_ADJ_03"	"S08"	"IS17"
"KKG_PROSP_ADJ_25"	"S08"	"IS17"
