"ID"	"State"	"InitialState"
"MUC14146"	"S01"	"IS07"
"MUC14173"	"S01"	"IS07"
"KKG_PROSP_ADJ_09"	"S01"	"IS07"
"KKG_PROSP_ADJ_20"	"S01"	"IS07"
"KKG_PROSP_ADJ_28"	"S01"	"IS07"
"KKG_PROSP_ADJ_50"	"S01"	"IS07"
"KKG_PROSP_ADJ_51"	"S01"	"IS07"
"MUC14115"	"S02"	"IS09"
"KKG_PROSP_ADJ_06"	"S02"	"IS09"
"KKG_PROSP_ADJ_07"	"S02"	"IS09"
"KKG_PROSP_ADJ_22"	"S02"	"IS09"
"KKG_PROSP_ADJ_24"	"S02"	"IS09"
"KKG_PROSP_ADJ_25"	"S02"	"IS09"
"KKG_PROSP_ADJ_44"	"S02"	"IS09"
"MUC14121"	"S03"	"IS05"
"MUC14125"	"S03"	"IS05"
"MUC14117"	"S03"	"IS05"
"MUC14176"	"S03"	"IS05"
"MUC14170"	"S03"	"IS05"
"MUC14110"	"S03"	"IS05"
"MUC14132"	"S03"	"IS05"
"KKG_PROSP_ADJ_29"	"S03"	"IS05"
"KKG_PROSP_ADJ_86"	"S03"	"IS05"
"MUC14120"	"S04"	"IS01"
"MUC14160"	"S04"	"IS01"
"MUC14111"	"S04"	"IS01"
"MUC14124"	"S04"	"IS01"
"MUC14155"	"S05"	"IS08"
"MUC14166"	"S05"	"IS08"
"MUC14136"	"S05"	"IS08"
"MUC14133"	"S05"	"IS08"
"MUC14141"	"S05"	"IS08"
"MUC14127"	"S05"	"IS08"
"KKG_PROSP_ADJ_31"	"S05"	"IS08"
"KKG_PROSP_ADJ_35"	"S05"	"IS08"
"KKG_PROSP_ADJ_04"	"S06"	"IS13"
"KKG_PROSP_ADJ_58"	"S06"	"IS13"
