"ID"	"State"	"InitialState"
"MUC14130"	"S01"	"IS01"
"MUC14169"	"S01"	"IS01"
"MUC14098"	"S01"	"IS01"
"MUC14162"	"S01"	"IS01"
"MUC14165"	"S01"	"IS01"
"MUC14166"	"S01"	"IS01"
"MUC14160"	"S01"	"IS01"
"MUC14137"	"S01"	"IS01"
"MUC14168"	"S01"	"IS01"
"MUC14111"	"S01"	"IS01"
"MUC14104"	"S01"	"IS01"
"MUC14178"	"S01"	"IS01"
"MUC14145"	"S01"	"IS01"
"MUC14164"	"S01"	"IS01"
"MUC14099"	"S01"	"IS01"
"MUC14123"	"S01"	"IS01"
"MUC14101"	"S01"	"IS01"
"MUC14134"	"S01"	"IS01"
"KKG_PROSP_ADJ_05"	"S01"	"IS01"
"KKG_PROSP_ADJ_06"	"S01"	"IS01"
"KKG_PROSP_ADJ_12"	"S01"	"IS01"
"KKG_PROSP_ADJ_143"	"S01"	"IS01"
"KKG_PROSP_ADJ_19"	"S01"	"IS01"
"KKG_PROSP_ADJ_27"	"S01"	"IS01"
"KKG_PROSP_ADJ_32"	"S01"	"IS01"
"KKG_PROSP_ADJ_35"	"S01"	"IS01"
"KKG_PROSP_ADJ_43"	"S01"	"IS01"
"KKG_PROSP_ADJ_45"	"S01"	"IS01"
"KKG_PROSP_ADJ_49"	"S01"	"IS01"
"KKG_PROSP_ADJ_48"	"S01"	"IS01"
"MUC14155"	"S02"	"IS05"
"MUC14121"	"S02"	"IS05"
"MUC14135"	"S02"	"IS05"
"MUC14149"	"S02"	"IS05"
"MUC14119"	"S02"	"IS05"
"MUC14118"	"S02"	"IS05"
"MUC14105"	"S02"	"IS05"
"MUC14158"	"S02"	"IS05"
"MUC14173"	"S02"	"IS05"
"MUC14157"	"S02"	"IS05"
"MUC14172"	"S02"	"IS05"
"MUC14170"	"S02"	"IS05"
"MUC14141"	"S02"	"IS05"
"MUC14100"	"S02"	"IS05"
"MUC14156"	"S02"	"IS05"
"MUC14167"	"S02"	"IS05"
"KKG_PROSP_ADJ_20"	"S02"	"IS05"
"KKG_PROSP_ADJ_21"	"S02"	"IS05"
"KKG_PROSP_ADJ_28"	"S02"	"IS05"
"KKG_PROSP_ADJ_58"	"S02"	"IS05"
"KKG_PROSP_ADJ_86"	"S02"	"IS05"
"MUC14112"	"S03"	"IS03"
"MUC14131"	"S03"	"IS03"
"MUC14138"	"S03"	"IS03"
"MUC14133"	"S03"	"IS03"
"MUC14107"	"S03"	"IS03"
"MUC14116"	"S03"	"IS03"
"MUC14117"	"S03"	"IS03"
"MUC14097"	"S03"	"IS03"
"MUC14108"	"S03"	"IS03"
"MUC14110"	"S03"	"IS03"
"MUC14147"	"S03"	"IS03"
"MUC14115"	"S03"	"IS03"
"MUC14129"	"S03"	"IS03"
"MUC14127"	"S03"	"IS03"
"KKG_PROSP_ADJ_01"	"S03"	"IS03"
"KKG_PROSP_ADJ_02"	"S03"	"IS03"
"KKG_PROSP_ADJ_03"	"S03"	"IS03"
"KKG_PROSP_ADJ_07"	"S03"	"IS03"
"KKG_PROSP_ADJ_09"	"S03"	"IS03"
"KKG_PROSP_ADJ_10"	"S03"	"IS03"
"KKG_PROSP_ADJ_13"	"S03"	"IS03"
"KKG_PROSP_ADJ_22"	"S03"	"IS03"
"KKG_PROSP_ADJ_23"	"S03"	"IS03"
"KKG_PROSP_ADJ_24"	"S03"	"IS03"
"KKG_PROSP_ADJ_25"	"S03"	"IS03"
"KKG_PROSP_ADJ_29"	"S03"	"IS03"
"KKG_PROSP_ADJ_31"	"S03"	"IS03"
"KKG_PROSP_ADJ_36"	"S03"	"IS03"
"KKG_PROSP_ADJ_41"	"S03"	"IS03"
"KKG_PROSP_ADJ_44"	"S03"	"IS03"
"KKG_PROSP_ADJ_47"	"S03"	"IS03"
"KKG_PROSP_ADJ_51"	"S03"	"IS03"
"KKG_PROSP_ADJ_54"	"S03"	"IS03"
"KKG_PROSP_ADJ_55"	"S03"	"IS03"
"KKG_PROSP_ADJ_57"	"S03"	"IS03"
"KKG_PROSP_ADJ_59"	"S03"	"IS03"
